osm_type,osm_id,latitude,longitude,industrial,landuse,power,man_made,building,product,plant_source,plant_method,resource,description,source_file
node,13684375700,17.6571128,78.6140938,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684446601,17.6571903,78.6135531,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684446602,17.6596161,78.614923,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684446603,17.660635,78.615856,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684446604,17.6617907,78.617778,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684602097,17.6674299,78.5984454,Biotechnology Company,,,,,,,,,,industrial-types.osm.pbf
node,13684602098,17.6651517,78.6047405,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684602099,17.6655254,78.6031434,Research institute,,,,,,,,,,industrial-types.osm.pbf
node,13684639101,17.6641504,78.6062404,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639102,17.6617628,78.6059644,Biotechnology Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639104,17.6618453,78.6030577,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639105,17.6609644,78.6052715,Research Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639106,17.6602422,78.6063437,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639110,17.6612787,78.614574,Agrochemical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639111,17.6583179,78.6151701,Laboratory,,,,,,,,,,industrial-types.osm.pbf
node,13684639113,17.6559903,78.6187,Research Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639119,17.665532,78.6250119,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639120,17.6673433,78.6263705,Biotechnology Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639122,17.6533848,78.6110986,Pharmaceutical Company,,,,,,,,,,industrial-types.osm.pbf
node,13684639123,17.6513799,78.6112767,Pharmaceutical company,,,,,,,,,,industrial-types.osm.pbf
node,13737409051,18.522432,79.3017229,rice,,,,,,,,,,industrial-types.osm.pbf
node,13737427725,15.1133879,80.0379593,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,13737484092,15.7554576,79.8342235,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,13875824112,28.3610576,77.0764746,grinding_mill,,,,,,,,,,industrial-types.osm.pbf
node,13901121252,17.7375949,83.3224319,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,13907348222,10.7955791,76.7790277,concrete_plant,,,,,concrete,,,,,industrial-types.osm.pbf
node,13917970037,19.5807311,75.6312066,slaughterhouse,industrial,,,,,,,,,industrial-types.osm.pbf
node,13926155661,9.5589876,76.7879244,factory,industrial,,,,coconut_oil,,,,,industrial-types.osm.pbf
node,13945134020,9.5572073,76.7896555,depot,industrial,,,,,,,,,industrial-types.osm.pbf
node,13947351282,11.9402903,79.8214665,distributor,,,,,,,,,"Wholesale dealer of Sintex water tanks, Finolex pipes, and fittings.",industrial-types.osm.pbf
node,13987520164,28.6760914,77.2956303,refractory_supplier,,,,,,,,,,industrial-types.osm.pbf
node,14006151986,10.5630224,76.364463,concrete_plant,industrial,,works,,concrete,,,,,industrial-types.osm.pbf
node,14019357824,11.2303559,77.1063091,oil_mill,,,,,,,,,,industrial-types.osm.pbf
node,14068042329,15.5513257,73.7698452,scrap_yard,industrial,,,,,,,,,industrial-types.osm.pbf
node,280183585,11.3796749,76.7454809,,industrial,,works,,,,,,,industrial-works.osm.pbf
node,303055221,11.2991328,76.6796204,,,,works,,,,,,,industrial-works.osm.pbf
node,366770716,12.9985296,80.2048273,,commercial,,works,,,,,,,industrial-works.osm.pbf
node,368480160,11.408415,76.6990348,,,,works,,,,,,,industrial-works.osm.pbf
node,431288185,29.9541629,77.4496894,,,,works,,,,,,,industrial-works.osm.pbf
node,440612250,22.9752916,72.6430213,,,,works,,,,,,,industrial-works.osm.pbf
node,460438619,9.5788134,77.0979758,,,,works,,,,,,,industrial-works.osm.pbf
node,496730218,28.7786707,77.1428523,,,,works,,,,,,,industrial-works.osm.pbf
node,560307775,12.9459345,80.1389696,,,,works,,,,,,,industrial-works.osm.pbf
node,581686339,11.390678,76.8855117,,,,works,,,,,,,industrial-works.osm.pbf
node,597102382,30.3716034,76.4746896,,,,works,,,,,,,industrial-works.osm.pbf
node,597104344,30.6995724,76.7928206,,,,works,,,,,,,industrial-works.osm.pbf
node,778367081,30.739732,75.6872398,,,,works,,,,,,,industrial-works.osm.pbf
node,818438933,31.3794525,75.8255419,,,,works,,,,,,,industrial-works.osm.pbf
node,836369109,13.3087906,76.9460187,,,,works,,,,,,,industrial-works.osm.pbf
node,836369161,13.3085112,76.9457575,,,,works,,,,,,,industrial-works.osm.pbf
node,916542416,30.8648284,75.8654946,,,,works,,,,,,,industrial-works.osm.pbf
node,917866068,30.8702514,75.868472,,,,works,,,,,,,industrial-works.osm.pbf
node,918130248,30.8661711,75.8609915,,,,works,,,,,,,industrial-works.osm.pbf
node,918130250,30.8667056,75.8605343,,,,works,,,,,,,industrial-works.osm.pbf
node,918130295,30.8661154,75.8613538,,,,works,,,,,,,industrial-works.osm.pbf
node,918130321,30.8660066,75.8609962,,,,works,,,,,,,industrial-works.osm.pbf
node,918130324,30.8670816,75.8614438,,,,works,,,,,,,industrial-works.osm.pbf
node,918137567,30.8658053,75.861395,,,,works,,,,,,,industrial-works.osm.pbf
node,918309756,30.8612447,75.8660297,,,,works,,,,,,,industrial-works.osm.pbf
node,918520857,30.86779,75.8624991,,,,works,,,,,,,industrial-works.osm.pbf
node,918520880,30.8678516,75.8625056,,,,works,,,,,,,industrial-works.osm.pbf
node,918521019,30.8676548,75.8624957,,,,works,,,,,,,industrial-works.osm.pbf
node,918521020,30.867272,75.8628543,,,,works,,,,,,,industrial-works.osm.pbf
node,918521049,30.8658628,75.8624743,,,,works,,,,,,,industrial-works.osm.pbf
node,918521091,30.8680394,75.8624767,,,,works,,,,,,,industrial-works.osm.pbf
node,918521111,30.8664709,75.8628097,,,,works,,,,,,,industrial-works.osm.pbf
node,919346282,30.8693565,75.8645714,,,,works,,,,,,,industrial-works.osm.pbf
node,919347333,30.8688986,75.8645644,,,,works,,,,,,,industrial-works.osm.pbf
node,919393140,30.8719316,75.8613636,,,,works,,,,,,,industrial-works.osm.pbf
node,919601744,30.8660587,75.8667381,,,,works,,,,,,,industrial-works.osm.pbf
node,919601756,30.8664462,75.866777,,,,works,,,,,,,industrial-works.osm.pbf
node,919601760,30.8690976,75.8668644,,,,works,,,,,,,industrial-works.osm.pbf
node,919601782,30.8667536,75.8668042,,,,works,,,,,,,industrial-works.osm.pbf
node,919601792,30.8657694,75.8654348,,,,works,,,,,,,industrial-works.osm.pbf
